,match_id,balls,score,wickets,ground,ground_average,wickets_remaining,powerplay_balls,non_powerplay_balls
456,517,215,162,5,"Warner Park, Basseterre",247,5,0,85
457,518,215,111,7,Dubai International Cricket Stadium,221,3,0,85
458,519,215,179,5,Western Australia Cricket Association Ground,227,5,0,85
459,520,215,159,8,Queens Sports Club,220,2,0,85
460,521,215,248,2,SuperSport Park,231,8,0,85
461,522,215,198,3,Seddon Park,235,7,0,85
462,523,215,242,0,Adelaide Oval,230,10,0,85
463,525,215,157,5,Sheikh Zayed Stadium,231,5,0,85
464,526,215,251,2,Wankhede Stadium,256,8,0,85
465,527,215,156,5,Melbourne Cricket Ground,240,5,0,85
466,528,215,216,1,Sheikh Zayed Stadium,231,9,0,85
467,530,215,213,5,"Vidarbha Cricket Association Stadium, Jamtha",280,5,0,85
468,531,215,165,4,County Ground,204,6,0,85
469,532,215,209,2,Rangiri Dambulla International Stadium,201,8,0,85
470,533,215,127,5,"Sir Vivian Richards Stadium, North Sound",225,5,0,85
471,534,215,168,6,Westpac Stadium,208,4,0,85
472,535,215,110,9,Shere Bangla National Stadium,214,1,0,85
473,536,215,182,4,Sydney Cricket Ground,220,6,0,85
474,537,215,136,3,Harare Sports Club,214,7,0,85
475,539,215,131,3,R Premadasa Stadium,214,7,0,85
476,540,215,125,5,Shere Bangla National Stadium,214,5,0,85
477,541,215,182,3,Reliance Stadium,231,7,0,85
478,542,215,128,4,"Sardar Patel Stadium, Motera",224,6,0,85
479,542,215,129,4,"Sardar Patel Stadium, Motera",224,6,0,85
480,543,215,154,4,Sheikh Zayed Stadium,231,6,0,85
481,544,215,125,5,Khan Shaheb Osman Ali Stadium,250,5,0,85
482,545,215,171,4,"Vidarbha Cricket Association Stadium, Jamtha",280,6,0,85
483,546,215,189,2,Saurashtra Cricket Association Stadium,250,8,0,85
484,547,215,179,4,"Civil Service Cricket Club, Stormont",177,6,0,85
485,548,215,171,4,Sharjah Cricket Stadium,250,6,0,85
486,550,215,172,3,Pallekele International Cricket Stadium,250,7,0,85
487,551,215,168,3,Shere Bangla National Stadium,214,7,0,85
488,552,215,170,3,Gaddafi Stadium,248,7,0,85
489,553,215,136,4,Sophia Gardens,192,6,0,85
490,555,215,151,4,Pallekele International Cricket Stadium,250,6,0,85
491,557,215,111,7,Cambusdoon New Ground,163,3,0,85
492,558,215,122,5,Queens Sports Club,220,5,0,85
493,559,215,133,7,Eden Park,219,3,0,85
494,560,215,177,3,Providence Stadium,211,7,0,85
495,561,215,115,7,Sharjah Cricket Stadium,250,3,0,85
496,562,215,121,8,Sawai Mansingh Stadium,235,2,0,85
497,562,215,124,8,Sawai Mansingh Stadium,235,2,0,85
498,563,215,129,5,Shere Bangla National Stadium,214,5,0,85
499,564,215,153,2,Kingsmead,243,8,0,85
500,567,215,224,3,"Vidarbha Cricket Association Stadium, Jamtha",280,7,0,85
501,568,215,171,3,"Kensington Oval, Bridgetown",187,7,0,85
502,569,215,135,6,Shere Bangla National Stadium,214,4,0,85
503,570,215,236,1,"Vidarbha Cricket Association Stadium, Jamtha",280,9,0,85
504,571,215,214,4,"MA Chidambaram Stadium, Chepauk",225,6,0,85
505,572,215,121,9,New Wanderers Stadium,238,1,0,85
506,573,215,200,3,"Brisbane Cricket Ground, Woolloongabba",218,7,0,85
507,574,215,167,4,Feroz Shah Kotla,250,6,0,85
508,577,215,209,2,Rangiri Dambulla International Stadium,201,8,0,85
509,578,215,196,5,Eden Park,219,5,0,85
510,579,215,214,2,SuperSport Park,231,8,0,85
511,580,215,158,6,Gymkhana Club Ground,193,4,0,85
512,582,215,153,5,"Sabina Park, Kingston",221,5,0,85
513,583,215,189,2,Bay Oval,250,8,0,85
514,584,215,150,6,Trent Bridge,246,4,0,85
515,585,215,162,3,Edgbaston,203,7,0,85
516,586,215,167,3,Dubai International Cricket Stadium,221,7,0,85
517,588,215,216,7,Gaddafi Stadium,248,3,0,85
518,589,215,151,5,Harare Sports Club,214,5,0,85
519,590,215,153,3,Sawai Mansingh Stadium,235,7,0,85
520,591,215,185,2,Shere Bangla National Stadium,214,8,0,85
521,592,215,158,4,"Beausejour Stadium, Gros Islet",208,6,0,85
522,594,215,131,4,Harare Sports Club,214,6,0,85
523,595,215,196,3,Seddon Park,235,7,0,85
524,596,215,171,5,Western Australia Cricket Association Ground,227,5,0,85
525,596,215,172,5,Western Australia Cricket Association Ground,227,5,0,85
526,598,215,161,3,"Punjab Cricket Association Stadium, Mohali",256,7,0,85
527,599,215,215,0,New Wanderers Stadium,238,10,0,85
528,600,215,141,3,St George's Park,215,7,0,85
529,600,215,142,3,St George's Park,215,7,0,85
530,601,215,203,2,Pallekele International Cricket Stadium,250,8,0,85
531,602,215,99,5,Westpac Stadium,208,5,0,85
532,603,215,169,1,Manuka Oval,285,9,0,85
533,604,215,166,3,Chittagong Divisional Stadium,250,7,0,85
534,606,215,136,3,"Kensington Oval, Bridgetown",187,7,0,85
535,607,215,143,4,"Queen's Park Oval, Port of Spain",199,6,0,85
536,608,215,191,2,The Rose Bowl,250,8,0,85
537,609,215,171,2,Saxton Oval,250,8,0,85
538,610,215,168,5,Eden Gardens,242,5,0,85
539,611,215,223,2,Willowmoore Park,219,8,0,85
540,612,215,189,2,New Wanderers Stadium,238,8,0,85
541,613,215,263,4,Mangaung Oval,262,6,0,85
542,614,215,150,5,R Premadasa Stadium,214,5,0,85
543,615,215,202,3,Shere Bangla National Stadium,214,7,0,85
544,616,215,179,7,National Stadium,214,3,0,85
545,617,215,142,4,St George's Park,215,6,0,85
546,618,215,125,8,Shere Bangla National Stadium,214,2,0,85
547,618,215,126,8,Shere Bangla National Stadium,214,2,0,85
548,619,215,136,3,Shaheed Chandu Stadium,212,7,0,85
549,619,215,137,3,Shaheed Chandu Stadium,212,7,0,85
550,620,215,105,7,Queens Sports Club,220,3,0,85
551,621,215,234,1,Barabati Stadium,259,9,0,85
552,622,215,199,2,Westpac Stadium,208,8,0,85
553,623,215,233,4,M Chinnaswamy Stadium,268,6,0,85
554,624,215,151,4,Queens Sports Club,220,6,0,85
555,626,215,161,2,Bert Sutcliffe Oval,250,8,0,85
556,627,215,136,6,Melbourne Cricket Ground,240,4,0,85
557,628,215,262,3,"Kensington Oval, Bridgetown",187,7,0,85
558,629,215,190,4,M Chinnaswamy Stadium,268,6,0,85
559,630,215,108,6,Shere Bangla National Stadium,214,4,0,85
560,631,215,164,5,Kennington Oval,246,5,0,85
561,632,215,102,3,Zahur Ahmed Chowdhury Stadium,183,7,0,85
562,633,215,126,3,Kinrara Academy Oval,204,7,0,85
563,634,215,178,4,The Rose Bowl,250,6,0,85
564,636,215,166,3,"Niaz Stadium, Hyderabad",238,7,0,85
565,637,215,155,3,Shere Bangla National Stadium,214,7,0,85
566,638,215,204,3,Khan Shaheb Osman Ali Stadium,250,7,0,85
567,639,215,133,2,Harare Sports Club,214,8,0,85
568,640,215,130,3,ICC Global Cricket Academy,250,7,0,85
569,641,215,152,8,County Ground,204,2,0,85
570,642,215,171,2,Harare Sports Club,214,8,0,85
571,643,215,256,2,New Wanderers Stadium,238,8,0,85
572,644,215,199,2,Lord's,233,8,0,85
573,646,215,163,2,"Queen's Park Oval, Port of Spain",199,8,0,85
574,648,215,183,3,Greater Noida Sports Complex Ground,250,7,0,85
575,650,215,166,4,Shere Bangla National Stadium,214,6,0,85
576,651,215,173,4,Greater Noida Sports Complex Ground,250,6,0,85
577,652,215,155,3,Harare Sports Club,214,7,0,85
578,654,215,151,5,M Chinnaswamy Stadium,268,5,0,85
579,656,215,158,4,Old Trafford,206,6,0,85
580,657,215,169,4,Harare Sports Club,214,6,0,85
581,658,215,171,1,Queens Sports Club,220,9,0,85
582,659,215,136,6,Harare Sports Club,214,4,0,85
583,660,215,128,5,Maple Leaf North-West Ground,165,5,0,85
584,661,215,176,2,Harare Sports Club,214,8,0,85
585,662,215,157,4,"Sir Vivian Richards Stadium, North Sound",225,6,0,85
586,664,215,104,6,"Arnos Vale Ground, Kingstown",180,4,0,85
587,666,215,152,5,ICC Global Cricket Academy,250,5,0,85
588,667,215,182,1,National Stadium,214,9,0,85
589,668,215,190,2,Gaddafi Stadium,248,8,0,85
590,669,215,137,3,Adelaide Oval,230,7,0,85
591,671,215,145,4,Nahar Singh Stadium,250,6,0,85
592,673,215,183,4,Chevrolet Park,250,6,0,85
593,674,215,248,2,Willowmoore Park,219,8,0,85
594,675,215,169,4,Harare Sports Club,214,6,0,85
595,676,215,167,6,Adelaide Oval,230,4,0,85
596,677,215,160,2,Sinhalese Sports Club Ground,167,8,0,85
597,678,215,197,6,Kennington Oval,246,4,0,85
598,680,215,185,5,Rangiri Dambulla International Stadium,201,5,0,85
599,681,215,178,4,Rangiri Dambulla International Stadium,201,6,0,85
600,683,215,197,1,Sheikh Zayed Stadium,231,9,0,85
601,684,215,143,3,Western Australia Cricket Association Ground,227,7,0,85
602,685,215,150,3,Sharjah Cricket Stadium,250,7,0,85
603,686,215,215,4,Shere Bangla National Stadium,214,6,0,85
604,687,215,153,6,Western Australia Cricket Association Ground,227,4,0,85
605,688,215,153,2,"Civil Service Cricket Club, Stormont",177,8,0,85
